,Emission Wavelength - λ (nm),T_1 - Optical Lifetime (ms),Branching Ratio,Dipole Moment - σ (Cm),Homogenous linewidth - Γ_h (GHz),Lifetime limit - Γ_0,Oscilator strength - f,Refractive Index,Normalised Lifetime (ms),Ordered Site Symmetry
Emission Wavelength - λ (nm),1.0,0.30175702402465043,-0.9384711079845934,0.13645291618319888,0.3421585108479497,0.2726105911659299,0.10826304360331207,0.07816450574806254,0.2528439779183975,-0.37278196682417325
T_1 - Optical Lifetime (ms),0.30175702402465043,1.0,-0.349963740217896,-0.558591184689427,0.990274068253186,-0.5966098441355512,-0.6275413962313153,-0.6896840265580398,0.9937437977871205,-0.4537880560256347
Branching Ratio,-0.9384711079845934,-0.349963740217896,1.0,-0.27707521627145,-0.47234764176927957,-0.1462819226023098,-0.1800377546105001,-0.1309993276236855,-0.34482103420559823,0.9630755016462006
Dipole Moment - σ (Cm),0.13645291618319888,-0.558591184689427,-0.27707521627145,1.0,-0.6831885958572649,0.9698625041264155,0.976030354549457,0.9468809977801786,-0.5646112869377159,-0.6363186023925058
Homogenous linewidth - Γ_h (GHz),0.3421585108479497,0.990274068253186,-0.47234764176927957,-0.6831885958572649,1.0,-0.7528465891117618,-0.7361706635492672,-0.7758006839676969,0.9891013526280314,-0.9742064638496581
Lifetime limit - Γ_0,0.2726105911659299,-0.5966098441355512,-0.1462819226023098,0.9698625041264155,-0.7528465891117618,1.0,0.9989148809047577,0.9286708294620372,-0.617862673734717,0.3691975438207022
Oscilator strength - f,0.10826304360331207,-0.6275413962313153,-0.1800377546105001,0.976030354549457,-0.7361706635492672,0.9989148809047577,1.0,0.9802953334224261,-0.6298305033513106,-0.2673748848555089
Refractive Index,0.07816450574806254,-0.6896840265580398,-0.1309993276236855,0.9468809977801786,-0.7758006839676969,0.9286708294620372,0.9802953334224261,1.0,-0.6753297531118724,0.4770817075263569
Normalised Lifetime (ms),0.2528439779183975,0.9937437977871205,-0.34482103420559823,-0.5646112869377159,0.9891013526280314,-0.617862673734717,-0.6298305033513106,-0.6753297531118724,1.0,-0.38982888807977173
Ordered Site Symmetry,-0.37278196682417325,-0.4537880560256347,0.9630755016462006,-0.6363186023925058,-0.9742064638496581,0.3691975438207022,-0.2673748848555089,0.4770817075263569,-0.38982888807977173,1.0
